county,ded,townland_or_street,townland_to_map_url,townland_to_map
Antrim,Newtown_Crommelin,Irishomerbane,http://www.townlands.ie/antrim/kilconway/dunaghy/irishomerbane,Irishomerbane
Antrim,Newtown_Crommelin,Legagrane,http://www.townlands.ie/antrim/kilconway/dunaghy/legagrane,Legagrane
Antrim,Newtown_Crommelin,Newtown_Crommelin_Village,http://www.townlands.ie/antrim/kilconway/newtown-crommelin/skerry-east,Skerry_East
Antrim,Newtown_Crommelin,Skerry_East,http://www.townlands.ie/antrim/kilconway/newtown-crommelin/skerry-east,Skerry_East
Antrim,Newtown_Crommelin,Scotchomerbane,http://www.townlands.ie/antrim/kilconway/newtown-crommelin/scotchomerbane,Scotchomerbane
Antrim,Newtown_Crommelin,Tuftarney,http://www.townlands.ie/antrim/kilconway/dunaghy/tuftarney,Tuftarney
Antrim,Red_Bay,Barard,http://www.townlands.ie/antrim/glenarm-lower/layd/barard,Barard
Antrim,Red_Bay,Culbidag,http://www.townlands.ie/antrim/glenarm-lower/layd/culbidag,Culbidag
Antrim,Red_Bay,Cushendall_Village_Bridge_Street,http://www.townlands.ie/antrim/glenarm-lower/layd/cushendall,Cushendall_Village
Antrim,Red_Bay,Cushendall_Village,http://www.townlands.ie/antrim/glenarm-lower/layd/cushendall,Cushendall_Village
Antrim,Red_Bay,Gortateea,http://www.townlands.ie/antrim/glenarm-lower/layd/gortateea,Gortateea
Antrim,Red_Bay,Issbawn_or_Upper_Gortnagross,http://www.townlands.ie/antrim/glenarm-lower/layd/issbawn,Issbawn_or_Upper_Gortnagross
Antrim,Red_Bay,Killoughag,http://www.townlands.ie/antrim/glenarm-lower/layd/kiloughag,Killoughag
Antrim,Red_Bay,Knockeny,http://www.townlands.ie/antrim/glenarm-lower/layd/knockeny,Knockeny
Antrim,Red_Bay,Middle_Park,http://www.townlands.ie/antrim/glenarm-lower/layd/middle-park,Middle_Park
Antrim,Red_Bay,Parkmore,http://www.townlands.ie/antrim/glenarm-lower/layd/parkmore,Parkmore
Antrim,Red_Bay,Red_Bay_Harbour,http://www.townlands.ie/antrim/glenarm-lower/layd/red-bay,Red_Bay
Antrim,Red_Bay,Red_Bay,http://www.townlands.ie/antrim/glenarm-lower/layd/red-bay,Red_Bay
Antrim,Red_Bay,Retreat,http://www.townlands.ie/antrim/glenarm-lower/layd/retreat,Retreat
Antrim,Red_Bay,Tavnagharry,http://www.townlands.ie/antrim/glenarm-lower/layd/tavnagharry,Tavnagharry
Antrim,Slemish,Antynanum,http://www.townlands.ie/antrim/antrim-lower/racavan/antynanum,Antynanum
Antrim,Slemish,Carnstroan,http://www.townlands.ie/antrim/antrim-lower/racavan/carnstroan,Carnstroan
Antrim,Slemish,Cloghinarney,http://www.townlands.ie/antrim/antrim-lower/racavan/cloghinarney,Cloghinarney
Antrim,Slemish,Racavan,http://www.townlands.ie/antrim/antrim-lower/racavan/racavan,Racavan
Antrim,Slemish,Rooghan,http://www.townlands.ie/antrim/antrim-lower/racavan/rooghan,Rooghan
Antrim,Slemish,Shillanavogy,http://www.townlands.ie/antrim/antrim-lower/racavan/shillanavogy,Shillanavogy
Down,Bryansford,Ballyhafry,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballyhafry,Ballyhafry
Down,Bryansford,Newcastle_Town_Church_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Bryansford,Newcastle_Town_King_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Bryansford,Newcastle_Town_Main_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Bryansford,Newcastle_Town_Post_Office_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Bryansford,Newcastle_Town_Shore_Road,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Ballaghbeg,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Bryansford_Road,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Castlewellan,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Harbour,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_King_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Main_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Post_Office_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Railway_Street,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Newcastle,Newcastle_Town_Valentia_Place,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Bryansford,Ballaghbeg,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/ballaghbeg,Ballaghbeg
Down,Bryansford,Tullybranigan,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/tullybranigan,Tullybranigan
Down,Fofanny,Drumena,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/drumena,Drumena
Down,Fofanny,Fofannybane,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/fofannybane,Fofannybane
Down,Fofanny,Fofannyreagh,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/fofannyreagh,Fofannyreagh
Down,Fofanny,Moyad,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/moyad,Moyad
Down,Fofanny,Slievenalargy,http://www.townlands.ie/down/iveagh-upper-lower-half/kilcoo/slievenalargy,Slievenalargy
Down,Greencastle,Aghyoghill,http://www.townlands.ie/down/mourne/kilkeel/aghyoghill,Aghyoghill
Down,Greencastle,Drummanlane,http://www.townlands.ie/down/mourne/kilkeel/drummanlane,Drummanlane
Down,Greencastle,Drummanmore,http://www.townlands.ie/down/mourne/kilkeel/drummanmore,Drummanmore
Down,Greencastle,Guineways,http://www.townlands.ie/down/mourne/kilkeel/guineways,Guineways
Down,Greencastle,Guineways_Upper,http://www.townlands.ie/down/mourne/kilkeel/guineways-upper,Guineways_Upper
Down,Kilkeel,Ballinran,http://www.townlands.ie/down/mourne/kilkeel/ballinran,Ballinran
Down,Kilkeel,Drumcro,http://www.townlands.ie/down/mourne/kilkeel/drumcro,Drumcro
Down,Kilkeel,Kilkeel_Town_Bridge_Street,http://www.townlands.ie/down/mourne/kilkeel/kilkeel,Kilkeel
Down,Kilkeel,Kilkeel_Town_Newcastle_Street,http://www.townlands.ie/down/mourne/kilkeel/kilkeel,Kilkeel
Down,Kilkeel,Kilkeel_Town_Meeting_House_Lane,http://www.townlands.ie/down/mourne/kilkeel/kilkeel,Kilkeel
Down,Kilkeel,Kilkeel_Town_Shore_Road,http://www.townlands.ie/down/mourne/kilkeel/kilkeel,Kilkeel
Down,Kilkeel,Kilkeel,http://www.townlands.ie/down/mourne/kilkeel/kilkeel,Kilkeel
