Date,Country,Value
2011-04-20,United Kingdom,0.6095702529716549
2011-04-19,United Kingdom,0.6129328838492185
2011-04-19,United Kingdom,0.6129328838492185
2011-03-16,United Kingdom,0.6239081607187422
2011-03-16,United Kingdom,0.6239081607187422
2011-02-16,United Kingdom,0.6225487144369046
2011-02-16,United Kingdom,0.6225487144369046
2010-11-30,United Kingdom,0.6419309282321222
2010-10-21,United Kingdom,0.634799720688123
2010-10-21,United Kingdom,0.634799720688123
2010-10-21,United Kingdom,0.634799720688123
2010-10-21,United Kingdom,0.634799720688123
2010-10-20,United Kingdom,0.6306363120388472
2010-10-20,United Kingdom,0.6306363120388472
2010-10-20,United Kingdom,0.6306363120388472
2010-10-16,United Kingdom,0.6306363120388472
2010-10-16,United Kingdom,0.6306363120388472
2010-10-14,United Kingdom,0.6253126563281641
2010-10-14,United Kingdom,0.6253126563281641
2010-09-30,United Kingdom,0.6356874960269532
2010-09-16,United Kingdom,0.6405329233922624
2010-09-14,United Kingdom,0.6427148274310688
2010-06-29,United Kingdom,0.6630860022544924
2010-06-29,United Kingdom,0.6630860022544924
2010-06-24,United Kingdom,0.6672894701721607
2010-06-24,United Kingdom,0.6672894701721607
2010-03-30,United Kingdom,0.6626905235255136
2010-02-11,United Kingdom,0.6379992344009188
2009-12-15,United Kingdom,0.615991129727732
2009-12-15,United Kingdom,0.615991129727732
2009-10-16,United Kingdom,0.6116207951070336
2009-10-16,United Kingdom,0.6116207951070336
2009-10-16,United Kingdom,0.6116207951070336
2009-09-26,United Kingdom,0.6116207951070336
2009-09-26,United Kingdom,0.6116207951070336
2009-09-24,United Kingdom,0.6223549912870301
2009-07-01,United Kingdom,0.6051803437424352
2009-07-01,United Kingdom,0.6051803437424352
2009-06-25,United Kingdom,0.6121449559255632
2009-04-24,United Kingdom,0.6804109682248077
2009-03-14,United Kingdom,0.6804109682248077
2009-02-13,United Kingdom,0.6933851060879213
2009-02-12,United Kingdom,0.7018528916339135
2009-02-12,United Kingdom,0.7018528916339135
2008-11-19,United Kingdom,0.6624710168930109
2008-10-22,United Kingdom,0.6182762458266353
2008-10-21,United Kingdom,0.593930035041872
2008-10-21,United Kingdom,0.593930035041872
2008-10-18,United Kingdom,0.593930035041872
2008-10-17,United Kingdom,0.5778008898133703
2008-10-01,United Kingdom,0.5616715344866322
2008-09-11,United Kingdom,0.5715265474081271
2008-09-11,United Kingdom,0.5715265474081271
2008-09-06,United Kingdom,0.5715265474081271
