,address,city_of_seattle,council_district,hud,name,sha,state_of_wa_or_county,units_with_income_rent_limits,wshfc,year_placed_in_service,zip_code,lat,lng
0,1606 12TH AVE,X,3, ,12th Avenue Arts, , ,86,X,2014,98122,47.615384,-122.3168652
1,13701 20TH AVE NE, ,5, ,13701 20th Ave NE, ,X,4, ,2009,98125,47.7286231,-122.3076156
2,13736 MERIDIAN AVE N,X,5, ,13736 Meridian Ave N, , ,4, ,2003,98133,47.7297958,-122.3338612
3,1715 NW 58TH ST,X,6, ,1715 Apartments, , ,9, ,2015,98107,47.6707472,-122.3795152
4,1806 23RD AVE,X,3, ,1806 23rd Ave, , ,13, ,2014,98122,47.6179606,-122.3022248
5,1811 EASTLAKE AVE,X,7, ,1811 Eastlake Supportive Housing, , ,75,X,2005,98101,47.6182239,-122.3295729
6,1812 12TH AVE,X,3, ,1812 12th Ave, , ,11, ,2014,98122,47.618016,-122.3165818
7,2500 E UNION ST,X,3, ,2500 E Union, , ,6, ,1995,98122,47.6132475,-122.2996395
8,320 E PINE ST,X,3, ,320 E Pine St, , ,27, ,2014,98122,47.6155808,-122.3271119
9,3904 MARTIN LUTHER KING JR WAY S,X,2, ,3904 MLK Way, , ,17,X,1986,98108,47.5682418,-122.2964603
10,410 11TH AVE E,X,3, ,410 Apartments, , ,6, ,1995,98102,47.6223506,-122.3175076
11,4558 7TH AVE NE,X,4, ,47+7 Sustainable Living, , ,5, ,2015,98105,47.663013,-122.320387
12,4730 CALIFORNIA AVE SW,X,1, ,4730 California, , ,15, ,2015,98116,47.5602534,-122.3866063
13,4743 21ST AVE NE,X,4, ,4743 Studios, , ,9, ,2014,98105,47.6643009,-122.3057391
14,507 NE NORTHGATE WAY,X,5, ,507 Northgate, , ,49, ,2009,98125,47.7080656,-122.3226005
15,4750 ROOSEVELT WAY NE,X,4, ,50th & Roosevelt Apartments, , ,12, ,2017,98105,47.6646228,-122.3171692
16,525 NE NORTHGATE WAY,X,5, ,525 at the Enclave, , ,54, ,2015,98125,47.70837119999999,-122.3215923
17,708 6TH AVE N,X,7, ,708 Uptown, , ,24, ,2012,98109,47.6258042,-122.3441011
18,143 NW 85TH ST,X,6, ,85th St Studios, , ,8, ,2015,98117,47.6903765,-122.3598463
19,8727 PHINNEY AVE N,X,5, ,8727 Phinney  Ave N, , ,8, ,2015,98103,47.69321129999999,-122.3543884
20,1601 9TH AVE,X,7, ,9th & Pine Apartments, , ,15, ,2015,98101,47.6137562,-122.332412
21,2020 S JACKSON ST,X,3, ,Abbey Lincoln Court, , ,68,X,2016,98144,47.5994749,-122.3048642
22,308 4TH AVE S, ,2, ,Addison on Fourth, , ,250,X,2013,98104,47.5998894,-122.3285612
23,2614 42ND AVE SW, ,1, ,Admiral House, ,X,15, ,2000,98116,47.5806029,-122.3847842
24,11500 STONE AVE N,X,5, ,Aki Kurose I (Stone View),X, ,26,X,1999,98133,47.7124721,-122.3418572
25,11520 STONE AVE N,X,5, ,Aki Kurose II,X, ,36,X,2000,98133,47.7125296,-122.342238
26,4545 42ND AVE SW, ,1, ,Alaska House, , ,104,X,2004,98116,47.5614597,-122.3857683
27,3512 ALBION PL N,X,4, ,Albion Place, , ,12, ,2004,98103,47.64996410000001,-122.344601
28,6520 35TH AVE SW,X,1, ,Alder Crest Apartments,X, ,35,X,2007,98126,47.54372129999999,-122.3760391
29,220 10TH AVE,X,3, ,Alder Flats, , ,19, ,2013,98122,47.6041782,-122.318989
30,525 25TH AVE S,X,3,X,Alma Gamble, , ,12, ,1999,98144,47.5973061,-122.3003338
31,1911 AURORA AVE N,X,7, ,Aloha Inn, , ,66, ,1992,98109,47.63658119999999,-122.3441683
32,4100 SW ALASKA ST,X,1, ,Altamira Apts, , ,32, ,2009,98116,47.5612376,-122.3849921
33,306 SUMMIT AVE E,X,3, ,Alturra aPodments, , ,12, ,2012,98102,47.6210798,-122.3249436
34,506 E HOWELL ST,X,3, ,Ambassador Condominiums, , ,6, ,1992,98122,47.6179465,-122.3248446
35,4801 RAINIER AVE S,X,2, ,Angeline, , ,39, ,2015,98118,47.5592356,-122.2868601
36,1531 BELMONT AVE,X,3, ,Annapolis, , ,22, ,1987,98122,47.6150367,-122.3247876
37,500 JOHN ST,X,7, ,Aperture on Fifth, , ,21, ,2014,98109,47.6199062,-122.3472159
38,539 23RD AVE S, ,3,X,Argonaut Apartments and Argonaut House 2, , ,14, ,2014,98144,47.5967008,-122.3025329
39,1502 E YESLER WAY,X,3, ,Aridell Mitchell Home, , ,6, ,1991,98122,47.60191469999999,-122.312519
40,1814 MINOR AVE,X,7, ,Arion Court, , ,37, ,1994,98101,47.6173468,-122.3307939
41,14027 LAKE CITY WAY NE,X,5, ,Array, , ,64, ,2014,98125,47.7310258,-122.2930796
42,9200 2ND AVE SW, ,1, ,Arrowhead Gardens, , ,443,X,2010,98106,47.521252,-122.3356492
43,4435 35TH AVE SW,X,1, ,Aura West Seattle, , ,31, ,2016,98126,47.5634212,-122.3764971
44,10507 AURORA AVE N,X,5, ,Aurora Supportive Housing, , ,87,X,2013,98133,47.7055763,-122.3450239
45,1400 NW MARKET ST,X,6, ,Avalon Ballard, , ,53, ,2013,98107,47.6690085,-122.3738834
46,2980 SW AVALON WAY,X,1, ,Avalon Mutual Housing, , ,15, ,2001,98126,47.5682372,-122.3710138
47,2988 SW AVALON WAY,X,1, ,Avalon Place, , ,16, ,2011,98126,47.5680317,-122.3711227
48,300 3RD AVE W,X,7, ,Avalon Queen Anne, , ,41, ,2012,98119,47.6213612,-122.3603182
49,2720 E MADISON ST,X,3, ,Bailey-Boushay House, , ,17, ,1992,98112,47.62329980000001,-122.2968838
50,118 BELL ST,X,7, ,Bakhita Gardens-Rose of Lima & Noel House, , ,90,X,2010,98121,47.6139473,-122.3461167
51,1820 MINOR AVE, ,7, ,Balfour Place, , ,180,X,1993,98101,47.6175343,-122.3312177
52,2445 NW 57TH ST, ,6, ,Ballard House,X, ,79,X,1969,98107,47.6696553,-122.3898313
53,7735 14TH AVE NW,X,6, ,Ballard House-CPC, , ,5, ,1991,98117,47.6861212,-122.3744176
54,2233 NW 58TH ST,X,6, ,Ballard on the Park, , ,54, ,2010,98107,47.6708195,-122.3864756
55,2248 NW 64TH ST,X,6, ,Ballard Public, , ,20, ,2015,98107,47.6755124,-122.3869462
56,412 BROADWAY,X,3, ,Barclay Broadway, , ,24, ,2012,98122,47.6060435,-122.3204507
57,430 MINOR AVE N, ,7, ,Bart Harvey, , ,49,X,2009,98109,47.6229289,-122.3325962
58,9201 RAINIER AVE S, ,2, ,Barton Place,X, ,91,X,1971,98118,47.5205296,-122.2703931
59,1728 12TH AVE,X,3, ,BASE Capitol Hill, , ,7, ,2014,98122,47.6172992,-122.3166065
60,2614 4TH AVE, ,7, ,Bayview Tower,X, ,100, ,1975,98121,47.6176936,-122.3472986
61,1536 12TH AVE S,X,2, ,Beacon Hill House, , ,5, ,1991,98144,47.5888841,-122.3169354
62,1545 12TH AVE S,X,2, ,Beacon House,X, ,6, ,1994,98144,47.5886133,-122.3175915
63,1311 S MASSACHUSETTS ST, ,2, ,Beacon Tower,X, ,108,X,1971,98144,47.5882132,-122.3156016
64,2215 1ST AVE, ,7, ,Bell Tower,X, ,120, ,1970,98121,47.6128285,-122.3461524
65,1641 BELLEVUE AVE,X,3, ,Bellevue/Olive Apartments, , ,48,X,1995,98122,47.6166121,-122.3270792
66,2208 2ND AVE,X,7, ,Belltown Senior Apartments, , ,25,X,2003,98121,47.6136836,-122.3444571
67,1411 BOYLSTON AVE,X,3, ,Belmont-Boylston Apts, , ,16, ,1990,98122,47.6134285,-122.3236635
68,101 N 104TH ST,X,6, ,Bergan Place Apartments, , ,37, ,1998,98133,47.704136,-122.357915
69,535 17TH AVE E,X,3, ,Berneva, , ,12, ,1992,98112,47.624274,-122.310307
70,1200 E PIKE ST,X,3, ,Beryl, , ,19, ,2015,98122,47.6142778,-122.3165507
71,7132 35TH AVE SW,X,1, ,Bethlehem House, , ,5, ,2000,98126,47.5382456,-122.3761801
72,620 N 130TH ST,X,5, ,Bitter Lake Manor - SSHP,X, ,71, ,2012,98133,47.723733,-122.350882
73,600 N 130TH ST, ,5, ,Bitterlake Facility (Moms Project), ,X,44, ,1999,98133,47.723933,-122.3515655
74,5020 CALIFORNIA AVE SW,X,1, ,Blake, , ,21, ,2014,98136,47.55679600000001,-122.386439
75,2401 NE BLAKELEY ST,X,4, ,Blakeley Manor - SSHP,X, ,69, ,2012,98105,47.6657869,-122.3015699
76,9722 8TH AVE NW,X,6,X,Booth Gardens, , ,16, ,1991,98117,47.7006215,-122.365635
77,3801 STONE WAY N,X,4, ,Bowman Stone Way, , ,55, ,2016,98103,47.6532043,-122.3433421
78,975 JOHN ST,X,7, ,Boxcar, , ,29, ,2013,98109,47.619481,-122.3375502
79,1726 BOYLSTON AVE,X,3,X,Boylston-Howell, , ,30, ,1994,98122,47.6173501,-122.3231303
80,2905 1ST AVE,X,7, ,Bremer, , ,49, ,1992,98121,47.61683319999999,-122.3530166
81,6800 62ND AVE NE,X,4, ,Brettler Family Housing, , ,51,X,2011,98115,47.6782924,-122.2616386
82,133 PONTIUS AVE N,X,7, ,Brewster Apartments, , ,35, ,1996,98109,47.6195133,-122.3325467
83,4557 11TH AVE NE,X,4, ,Bridges at 11th, , ,37, ,2015,98105,47.6624768,-122.3165305
84,11020 GREENWOOD AVE N,X,5, ,Brierwood, , ,23, ,2010,98133,47.7093934,-122.354949
85,6727 RAINIER AVE S, ,2, ,"Brighton, The", ,X,10, ,1999,98118,47.54154680000001,-122.2733966
86,124 DENNY WAY,X,7, ,Broadstone Clarendon, , ,15, ,2017,98109,47.6187733,-122.3544907
87,1139 NW MARKET ST,X,6, ,Broadstone Koi, , ,31, ,2013,98107,47.6684345,-122.3720366
88,4745 40TH AVE SW,X,1, ,Broadstone Sky, , ,27, ,2015,98116,47.5597253,-122.3833011
89,1620 BROADWAY,X,3, ,Broadway Building, , ,19, ,2010,98122,47.6162289,-122.3202924
90,815 E PINE ST,X,3, ,Broadway Crossing, , ,44,X,2007,98122,47.6150944,-122.3213667
91,2609 BROADWAY E,X,3, ,Broadway House, , ,8, ,1996,98102,47.6435137,-122.3212561
92,4008 NE 57TH ST,X,4, ,Bryant House, , ,5, ,1998,98105,47.6705113,-122.2843341
93,4732 35TH AVE S,X,2, ,Buchanan Place, , ,12, ,2003,98118,47.5597787,-122.2885009
94,3516 S JUNEAU ST,X,2, ,Bunkhouse, , ,24, ,2001,98118,47.5498784,-122.2880668
95,5100 40TH AVE NE,X,4, ,Burke Gilman Place, , ,113,X,1985,98105,47.66602779999999,-122.2844841
96,5251 SAND POINT WAY NE,X,4, ,Burke-Gilman Gardens, , ,15, ,1997,98105,47.6677585,-122.2804515
97,621 S JACKSON ST,X,2,X,Bush Hotel, , ,95,X,1994,98104,47.5989323,-122.3254668
98,3300 WETMORE AVE S,X,2, ,Byron/Wetmore, , ,12,X,1992,98144,47.5743544,-122.2931841
99,909 BOREN AVE,X,3,X,Cabrini Senior Housing, , ,50,X,2006,98104,47.6090406,-122.3252591
100,400 BROADWAY,X,3,X,Cal Anderson House, , ,23, ,1994,98122,47.60552879999999,-122.3204084
101,1806 12TH AVE,X,3, ,Cal Park Studios, , ,8, ,2014,98122,47.6179366,-122.316566
102,6420 CALIFORNIA AVE SW, ,1, ,Cal-Mor Circle,X, ,75,X,1969,98136,47.5454859,-122.3867703
103,13030 LINDEN AVE N, ,5, ,Cambridge Apartments, , ,138,X,2007,98133,47.7244245,-122.3472854
104,903 UNION ST,X,7, ,Cambridge Apartments, , ,156, ,1985,98101,47.6114531,-122.3298647
105,424 MINOR AVE N,X,7, ,Canaday House, , ,83,X,2010,98109,47.6227398,-122.3326524
106,113 23RD AVE S,X,3, ,Cannon House, , ,86,X,2002,98144,47.6008433,-122.3028226
107,525 14TH AVE E, ,3, ,Capitol Park,X, ,125,X,1971,98112,47.6238378,-122.3150836
108,431 BOYLSTON AVE E,X,3, ,Caroline W. Apartments, , ,44,X,2015,98102,47.6230045,-122.3233016
109,600 5TH AVE, ,3, ,Carroll Terrace,X, ,26, ,1985,98104,47.6042192,-122.3290477
110,1167 REPUBLICAN ST,X,7, ,Casa Pacifica, , ,63,X,1998,98109,47.6228521,-122.3333879
111,710 N 85TH ST, ,5,X,Cascade Cluster, , ,6, ,1984,98103,47.6907889,-122.3492886
112,1722 BELMONT AVE, ,3, ,Cascade Court/Sterling Court, , ,107,X,1994,98122,47.6170835,-122.3241563
113,312 NW 85TH ST,X,6, ,Cate Apartments, , ,31,X,2003,98117,47.6908599,-122.3612341
114,13215 39TH AVE NE,X,5, ,Cedar House-CPC, , ,8, ,1997,98125,47.7251138,-122.286723
115,13051 37TH AVE NE,X,5, ,Cedar House-LIHI, , ,5, ,1999,98125,47.7245389,-122.2896449
116,12723 37TH AVE NE,X,5, ,Cedar Park, , ,4, ,1999,98125,47.7220107,-122.2889572
117,12740 30TH AVE NE, ,5, ,Cedar Park Apartments, , ,203,X,2008,98125,47.72217699999999,-122.2957163
118,11050 8TH AVE NE, ,5, ,Cedarvale House,X, ,118,X,1971,98125,47.710233,-122.3201755
119,11219 ROOSEVELT WAY NE, ,5, ,Cedarvale Village,X, ,24, ,1971,98125,47.7104678,-122.3181359
120,600 E OLIVE ST,X,3, ,Centennial Apartments, , ,18, ,2000,98122,47.6165123,-122.3241348
121,2121 26TH AVE S, ,3, ,Center Park,X, ,137,X,1969,98144,47.5842083,-122.2996639
122,533 3RD AVE W, ,7, ,Center West,X, ,91,X,1969,98119,47.6243475,-122.3609513
123,8427 DELRIDGE WAY SW,X,1, ,Centerwood, , ,12, ,2002,98106,47.5272783,-122.3608133
124,2203 E UNION ST,X,3, ,"Central, The", , ,19, ,2016,98122,47.6126548,-122.3032309
125,1304 E JOHN ST,X,3, ,Centro aPodments, , ,12, ,2012,98112,47.6201258,-122.3151789
126,101 TAYLOR AVE N,X,7, ,"Century, The", , ,52, ,2014,98109,47.6191505,-122.3465378
127,1000 S HENDERSON ST,X,1, ,Cesar Chavez Village, , ,25,X,2009,98108,47.52306890000001,-122.3202667
128,3656 35TH AVE S,X,2, ,Charlestown Apartments, , ,7, ,2004,98144,47.5699603,-122.2886091
129,2014 NW 57TH ST,X,6,X,Cheryl Chow Court, , ,50,X,2015,98107,47.6704118,-122.3828312
130,1220 E MADISON ST,X,3, ,"Citizen, The", , ,22, ,2012,98122,47.6133684,-122.3159665
131,4740 32ND AVE S,X,2, ,CityLine, , ,49, ,2016,98118,47.5597923,-122.2912156
132,3333 RAINIER AVE S,X,2,X,Claremont Apartments, , ,67,X,2011,98144,47.573122,-122.2945142
133,1056 N 35TH ST,X,4, ,Coach House, , ,8, ,1997,98103,47.650065,-122.3444551
134,2300 S MASSACHUSETTS ST,X,3, ,Colman School, , ,36,X,2008,98144,47.5890396,-122.3018363
135,4484 MARTIN LUTHER KING JR WAY S,X,2, ,Columbia City Station Apartments, , ,52,X,2012,98108,47.5632973,-122.2944795
136,710 26TH AVE,X,3, ,Columbia Court, , ,13, ,1990,98122,47.6085258,-122.2986419
137,3605 34TH AVE S,X,2, ,Columbia Gardens at Rainier Court, , ,69,X,2014,98144,47.571271,-122.290467
138,4902 RAINIER AVE S,X,2, ,Columbia Hotel, , ,8, ,1997,98118,47.5578194,-122.28462
139,4628 S HOLLY ST, ,2, ,Columbia Place,X, ,66, ,1984,98118,47.5428182,-122.2739737
140,5601 22ND AVE NW,X,6, ,"Commons at Ballard, The", , ,17, ,2016,98107,47.66963090000001,-122.3849034
141,210 ALASKAN WAY S,X,7, ,Compass Center 210, , ,79, ,2005,98104,47.6004411,-122.3353941
142,756 JOHN ST,X,7, ,Compass on Dexter, , ,72,X,2014,98109,47.6200156,-122.3420854
143,8424 DELRIDGE WAY SW, ,1,X,Conbela Apartments, , ,7, ,1983,98106,47.5274717,-122.3601352
144,14065 ROOSEVELT WAY N,X,5, ,Cooper House, , ,4, ,1991,98133,47.7316759,-122.3409958
145,227 BOYLSTON AVE E,X,3, ,Cortena, , ,7, ,2013,98102,47.6206895,-122.3233322
146,5444 DELRIDGE WAY SW,X,1, ,Cottage Grove, , ,66,X,2013,98106,47.5525959,-122.3626268
147,3621 33RD AVE S, ,2, ,Courtland Place at Rainier Court, , ,206,X,2004,98144,47.5709905,-122.2915097
148,1315 E JEFFERSON ST,X,3, ,Craft Apartments, , ,7, ,2016,98122,47.6060862,-122.3146521
149,6701 21ST AVE SW,X,1, ,Croft Place Townhomes, , ,21,X,2005,98106,47.5425713,-122.3598484
150,918 N 103RD ST,X,5, ,Cubix, , ,6, ,2014,98133,47.7037747,-122.3464621
151,721 E PINE ST,X,3, ,Cue Apartments, , ,18, ,2015,98122,47.6150321,-122.3223376
152,3605 33RD AVE W, ,7, ,Dakota at Rainier Court, , ,176,X,2005,98199,47.6525495,-122.399806
153,111 YALE AVE N,X,7, ,David Colwell Building, , ,124,X,2000,98109,47.618906,-122.3306147
154,301 12TH AVE,X,3, ,Decibel, , ,15, ,2016,98122,47.6045048,-122.3170691
155,919 STEWART ST,X,7, ,Dekko Place, , ,50,X,2012,98101,47.6157706,-122.3339176
156,8630 DELRIDGE WAY SW,X,1, ,Delridge Heights, , ,11, ,2003,98106,47.5255005,-122.3601452
157,620 N 85TH ST,X,6, ,Denice Hunt Townhomes,X, ,30, ,1999,98103,47.690998,-122.350328
158,2721 17TH AVE S,X,2, ,Denning, , ,10, ,2014,98144,47.5788138,-122.3112121
159,1823 18TH AVE,X,3, ,Denny 18, , ,7, ,2016,98122,47.6183426,-122.309149
160,230 8TH AVE N,X,7, ,Denny Park Apartments, , ,50,X,2005,98109,47.6207018,-122.3407266
161,100 MELROSE AVE E, ,3, ,Denny Terrace,X, ,220, ,1969,98102,47.6190821,-122.3275028
162,420 WALL ST,X,7, ,Devonshire Apartments, , ,62, ,1993,98121,47.617374,-122.3461472
163,417 28TH AVE S,X,3, ,Dolly Austin Home, , ,6, ,1989,98144,47.5986377,-122.2965692
164,721 S LANE ST,X,2, ,Domingo Viernes Apartments, , ,56,X,2004,98104,47.5964775,-122.3228401
165,106 BELL ST,X,7, ,Dorothy Day Residence, , ,41,X,1999,98121,47.6136671,-122.3464734
166,10405 RENTON AVE S,X,2, ,Dove House - Seattle, , ,5, ,1995,98178,47.5079369,-122.2566065
167,706 UNION ST, ,7, ,"Eagles, The", , ,43,X,1996,98101,47.6109199,-122.3321125
168,1823 EASTLAKE AVE E,X,4, ,East Howe Steps, , ,19, ,2016,98102,47.63555179999999,-122.3257489
169,1113 E JOHN ST,X,3, ,East John Apartments, , ,10, ,2015,98102,47.6197524,-122.3175081
170,506 MAYNARD AVE S,X,2, ,Eastern Hotel, , ,46,X,1998,98104,47.5980699,-122.3247823
171,2820 EASTLAKE AVE E,X,4, ,Eastlake Flats, , ,24, ,2016,98102,47.6462425,-122.3248876
172,2522 14TH AVE S,X,2, ,El Patio, , ,14,X,1994,98144,47.5802506,-122.3141909
173,2119 2ND AVE,X,7, ,El Rey, , ,60, ,1999,98121,47.6126837,-122.3441797
174,800 NE 67TH ST,X,4, ,Eleanor, , ,52, ,2016,98115,47.6778069,-122.3196693
175,2622 CALIFORNIA AVE SW,X,1, ,Element 42, , ,16, ,2011,98116,47.5799392,-122.3859457
176,109 23RD AVE E, ,3,X,Elizabeth James Senior Housing, , ,60, ,1969,98112,47.6196302,-122.3028649
177,7700 RAINIER AVE S,X,2, ,Emerald City Commons, , ,60,X,2013,98118,47.5334364,-122.2693203
178,1401 E OLIVE ST, ,3, ,Emma Pardee Townhomes, , ,8,X,1992,98122,47.6164525,-122.3142554
179,1520 EASTLAKE AVE E,X,4, ,Equinox Apts, , ,41, ,2010,98102,47.6328675,-122.3257008
180,2010 S JACKSON ST,X,3, ,Ernestine Anderson Place, , ,60,X,2013,98144,47.5994257,-122.3055422
181,6940 37TH AVE S, ,2, ,Esperanza Apartments, , ,83,X,2001,98118,47.5392844,-122.2856154
182,415 10TH AVE,X,3, ,Evans House, , ,75,X,2007,98122,47.6058208,-122.3197803
183,10539 EVANSTON AVE N,X,5, ,Evanston House, , ,6, ,1998,98133,47.7062178,-122.3517606
184,954 E UNION ST,X,3, ,Evolve, , ,16, ,2014,98122,47.6132874,-122.3198192
185,100 REPUBLICAN ST,X,7, ,Expo, , ,55, ,2012,98109,47.6234857,-122.3550296
186,5949 CALIFORNIA AVE SW,X,1, ,Fauntleroy Lofts, , ,8, ,2015,98136,47.5489507,-122.3875148
187,2519 1ST AVE,X,7,X,First & Vine Apartments, , ,80,X,2012,98121,47.61486619999999,-122.3496347
188,10751 2ND AVE NW,X,5, ,Firwood, , ,27, ,2005,98177,47.7085505,-122.3600018
189,2321 4TH AVE,X,7, ,Fleming Apartments, , ,30,X,2000,98121,47.6156071,-122.3449393
190,3266 SW AVALON WAY,X,1, ,Footprint - Avalon Studios, , ,12, ,2014,98126,47.5643029,-122.375162
191,422 11TH AVE E,X,3, ,Footprint 11th, , ,11, ,2013,98102,47.62262450000001,-122.3175218
192,4546 DELRIDGE WAY SW,X,1, ,Footprint Delridge, , ,4, ,2013,98106,47.5615664,-122.3626481
193,3401 W GOVERNMENT WAY, ,7, ,Fort Lawton Place,X, ,24, ,1984,98199,47.6587295,-122.4013425
194,2371 FRANKLIN AVE E,X,4, ,Franklin Studios, , ,7, ,2014,98102,47.6418036,-122.3249491
195,801 9TH AVE,X,3, ,Frederic Ozanam House, , ,56,X,2009,98104,47.6070627,-122.3264817
196,1509 E MERCER ST,X,3, ,Fredonia, , ,7, ,1987,98112,47.6242167,-122.3123845
197,4601 PHINNEY AVE N, ,6, ,Fremont Place,X, ,31, ,1984,98103,47.6624259,-122.3543659
198,3623 WOODLAND PARK AVE N,X,4, ,Fremont Solstice Apartments, , ,17,X,2008,98103,47.6512435,-122.3444054
199,223 YESLER WAY,X,7,x,Frye Apartments, , ,233,x,1999,98104,47.60150660000001,-122.330588
200,4425 MARTIN LUTHER KING JR WAY S,X,2,X,Genesee Housing, , ,49,X,2006,98108,47.5633022,-122.2954079
201,639 NW 85TH ST,X,6, ,George B, , ,8, ,1991,98117,47.6904333,-122.3649655
202,323 25TH AVE S, ,3, ,Gideon-Mathews Gardens,X, ,45, ,1986,98144,47.5996508,-122.300148
203,1116 NW 54TH ST,X,6, ,Gilman Court, , ,25,X,1996,98107,47.6681148,-122.3715553
204,1530 3RD AVE,X,7, ,Gilmore, , ,64,X,2003,98101,47.6106804,-122.3382694
205,1413 3RD AVE,X,7, ,Glen Hotel, , ,37,X,1996,98101,47.6089389,-122.3376907
206,4649 SUNNYSIDE AVE N,X,4, ,Good Shepherd Center, , ,6, ,2003,98103,47.6638818,-122.331229
207,4719 12TH AVE NE,X,4, ,Gossett Place, , ,62,X,2011,98105,47.66366379999999,-122.3155709
208,2014 TERRY AVE, ,7, ,Graham/Terry Apartments, , ,117,X,1992,98121,47.6175057,-122.3353097
209,505 NE 70TH ST, ,6, ,Green Lake Plaza,X, ,130,X,1970,98115,47.6793001,-122.3220219
210,3701 S HUDSON ST,X,2, ,Greenhouse, , ,25, ,2012,98118,47.5565809,-122.285661
211,12701 GREENWOOD AVE N, ,5, ,Greenwood Apartments,X, ,6, ,1981,98133,47.7215771,-122.3559715
212,202 N 110TH ST,X,5, ,Greenwood Home, , ,11, ,2001,98133,47.7089838,-122.3563203
213,8808 6TH AVE NW,X,6, ,Greenwood House, , ,10, ,1999,98117,47.6931036,-122.3630279
214,201 W HARRISON ST,X,7, ,H2O Apts, , ,8, ,2012,98119,47.6219896,-122.3597301
215,1415 E OLIVE ST,X,3,X,Haines Apartments, , ,29,X,2015,98122,47.6162104,-122.3134874
216,1107 VIRGINIA ST, ,7, ,Harbor House - Dutch Shisler, ,X,20, ,1996,98101,47.6177955,-122.3337082
217,8504 WALLINGFORD AVE N, ,5, ,Harder House, ,X,7, ,2007,98103,47.6906798,-122.3360103
218,346 15TH AVE E,X,3, ,Harrison House, , ,19,X,2001,98112,47.621876,-122.31234
219,610 HARVARD AVE E, ,3, ,Harvard Court,X, ,81,X,1969,98102,47.62464060000001,-122.32171
220,2615 E CHERRY ST,X,3, ,Harvey Apartments, , ,18, ,2000,98122,47.6078569,-122.2981317
221,934 N 98TH ST, ,5, ,Heather Apts, ,X,16, ,1995,98103,47.7007932,-122.3459673
222,711 E UNION ST,X,3, ,Heg House, , ,10,X,1991,98101,47.6128339,-122.3228055
223,1319 E UNION ST,X,3,X,Helen V Apartments, , ,38,X,2002,98122,47.612545,-122.314519
224,414 NE RAVENNA BLVD,X,6, ,Helene Apartments, , ,13, ,2016,98115,47.6786025,-122.3239478
225,843 HIAWATHA PL S,X,3, ,Hiawatha Artist Lofts, , ,60,X,2008,98144,47.5946805,-122.30974
226,2714 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5506816,-122.3702601
227,2716 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5506451,-122.3702251
228,2718 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5506001,-122.370103
229,2720 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5506422,-122.3700908
230,2721 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5503477,-122.3699527
231,2725 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5503478,-122.3697598
232,2726 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5504669,-122.3695125
233,2727 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.55032749999999,-122.3696908
234,2728 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5504673,-122.3694382
235,2729 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5502666,-122.3695208
236,2731 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5502393,-122.3694618
237,2732 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5503149,-122.3692578
238,2734 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5503008,-122.3692278
239,2735 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.55016029999999,-122.3693595
240,2737 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5501486,-122.3692997
241,2738 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5502075,-122.3690854
242,2740 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5501867,-122.3690471
243,2741 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5500503,-122.3691412
244,2743 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5500118,-122.3691092
245,2744 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.55004539999999,-122.3688513
246,2746 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5500236,-122.3688382
247,2747 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5499164,-122.3689854
248,2749 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.54989639999999,-122.3689667
249,2750 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5499069,-122.3687013
250,2752 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5498763,-122.3686598
