,0,1,2,3
154,9763 Webb Chapel Rd Dallas TX 75220,Abc Mart,2.539,6 Days Ago
155,2900 W 15th St Plano TX 75075,7-eleven #35515,2.669,1 Day Ago
156,2350 Walnut Hill Ln Dallas TX 75229,Legacy Fuel Stop,2.699,1 Day Ago
157,5965 Dallas Parkway Plano TX 75093,7-eleven #37170,2.599,1 Day Ago
158,5960 Dallas Pkwy Plano TX 75093,Quick Stuff #7728,2.699,1 Day Ago
159,4275 W Northwest Hwy Dallas TX 75220,Shell,2.699,1 Day Ago
160,102 E Arapaho Rd Richardson TX 75081,Corner Store #1199,2.659,1 Day Ago
161,9707 Webb Chapel Rd Dallas TX 75220,7-eleven #38111,2.599,1 Day Ago
162,3305 N Dallas Pkwy Plano TX 75093,Kroger Fuel Center (discount Available),2.699,2 Days Ago
163,9717 Webb Chapel Rd Dallas TX 75220,7-eleven,2.659,3 Days Ago
164,12482 Abrams Rd Dallas TX 75243,Patti Mikkelson,2.649,5 Days Ago
165,3400 Lombardy Ln Dallas TX 75220,Fox,2.799,5 Days Ago
166,9351 Lbj Fwy Dallas TX 75243,7-eleven #39443,2.699,2 Days Ago
167,9702 Brockbank Dr Dallas TX 75220,Exxon,2.699,1 Day Ago
168,10025 N Macarthur Blvd Irving TX 75063,7-eleven #39047,2.679,1 Day Ago
169,9975 N Macarthur Blvd Irving TX 75063,Shell,2.599,1 Day Ago
170,8424 Preston Rd Dallas TX 75225,Chevron,2.699,1 Day Ago
171,3434 Webb Chapel Ext Dallas TX 75220,Corner Store #2268,2.599,1 Day Ago
172,2990 Lombardy Ln Dallas TX 75220,7-eleven #21764,2.659,1 Day Ago
173,699 W Renner Rd Richardson TX 75080,Shell Service Station,2.699,1 Day Ago
174,7567 Greenville Ave Dallas TX 75231,7-eleven #35474,2.679,1 Day Ago
175,3733 W Northwest Hwy Dallas TX 75220,7-eleven #24579,2.699,1 Day Ago
176,4040 Preston Rd Plano TX 75093,Shell,2.699,1 Day Ago
177,9401 N Macarthur Blvd Irving TX 75063,Texaco #305627,2.559,3 Days Ago
178,4001 W Parker Rd Plano TX 75093,Quik-way,2.699,2 Days Ago
179,3300 Coit Rd Plano TX 75023,Chevron,2.699,2 Days Ago
180,1528 W Hebron Pkwy Carrollton TX 75010,Quiktrip #930,2.599,1 Day Ago
181,1301 E Belt Line Rd Coppell TX 75019,Chevron,2.699,1 Day Ago
182,10969 N Stemmons Fwy Dallas TX 75220,Shell,2.749,1 Day Ago
183,536 Centennial Blvd Richardson TX 75081,Kroger Fuel Center #7526 (discount Available),2.539,2 Days Ago
184,7470 Greenville Ave Dallas TX 75231,Greenville Mini Mart,2.699,3 Days Ago
185,2682 Lombardy Ln Dallas TX 75220,Quick Fuel #5303,2.829,1 Day Ago
186,5801 Windhaven Pkwy The Colony TX 75056,7-eleven #37264,2.699,1 Day Ago
187,1545 W Hebron Pkwy Carrollton TX 75010,7-eleven #32379,2.599,1 Day Ago
188,3600 Huffines Blvd Carrollton TX 75010,Texaco,2.599,1 Day Ago
189,6833 W Northwest Hwy Dallas TX 75225,7-eleven #26885,2.699,1 Day Ago
190,8600 N Macarthur Blvd Irving TX 75063,Chevron,2.699,3 Days Ago
191,540 Centennial Blvd Richardson TX 75081,Quik-way,2.569,1 Day Ago
192,2001 N Central Expy Richardson TX 75080,Quik-way,2.599,1 Day Ago
193,720 E Arapaho Rd Richardson TX 75081,Racetrac #2435,2.659,1 Day Ago
194,3025 Webb Chapel Ext Dallas TX 75220,Casablanca Market,2.499,4 Days Ago
195,2635 Willowbrook Rd Dallas TX 75220,7-eleven #27372,2.659,1 Day Ago
196,9500 Forest Ln Dallas TX 75243,Quiktrip #900,2.649,1 Day Ago
197,7057 Greenville Ave Dallas TX 75231,Racetrac #486,2.649,1 Day Ago
198,8302 Abrams Rd Dallas TX 75243,7-eleven #35425,2.679,1 Day Ago
199,8580 N Macarthur Blvd Irving TX 75063,Texaco,2.659,3 Days Ago
200,3311 W Northwest Hwy Dallas TX 75220,Bachman Chevron,2.659,1 Day Ago
201,2647 W Northwest Hwy Dallas TX 75220,Gulf,2.699,4 Days Ago
202,2807 W Northwest Hwy Dallas TX 75220,Racetrac #2337,2.659,1 Day Ago
203,2101 W 15th St Plano TX 75075,7-eleven #29234,2.659,1 Day Ago
204,7104 Greenville Ave Dallas TX 75231,Quiktrip #933,2.649,1 Day Ago
205,6401 Riverside Drive Irving TX 75039,7-eleven #35972,2.659,1 Day Ago
206,3203 Independence Pkwy Plano TX 75075,Super 1 Mart,2.599,3 Days Ago
207,2750 W Northwest Hwy Dallas TX 75220,7-eleven #26721,2.659,1 Day Ago
208,6465 Preston Rd Plano TX 75024,7-eleven #32912,2.539,1 Day Ago
209,10025 Harry Hines Blvd Dallas TX 75220,Friendlys Mobil,2.659,1 Day Ago
210,9790 Walnut St Dallas TX 75243,Shell,2.699,4 Days Ago
211,6881 Greenville Ave Dallas TX 75231,7-eleven #33116,2.679,1 Day Ago
212,6400 Preston Rd Plano TX 75024,Quiktrip #934,2.519,1 Day Ago
213,2275 W Northwest Hwy Dallas TX 75220,Shell,2.699,1 Day Ago
214,8209 Park Ln Dallas TX 75231,Mobil,2.679,1 Day Ago
215,9820 Walnut St Dallas TX 75243,7-eleven #25511,2.679,1 Day Ago
216,2201 W Northwest Hwy Dallas TX 75220,Fuel Town,2.559,1 Day Ago
217,2332 W Northwest Hwy Dallas TX 75220,Chevron,2.699,1 Day Ago
218,3100 Independence Pkwy Plano TX 75075,Tom Thumb #2554 (discount Available),2.599,4 Days Ago
219,5123 W Lovers Ln Dallas TX 75209,7-eleven #12205,2.699,1 Day Ago
220,2170 W Northwest Hwy Dallas TX 75220,Fuel Zone,2.599,1 Day Ago
221,1985 W Northwest Hwy Dallas TX 75220,7-eleven #35027,2.559,1 Day Ago
222,601 Fm 2281 The Colony TX 75056,7-eleven #38113,2.669,1 Day Ago
223,1930 W Northwest Hwy Dallas TX 75220,Racetrac #393,2.559,1 Day Ago
224,4455 Lovers Ln Dallas TX 75225,Shell,3.299,1 Day Ago
225,10110 Harry Hines Blvd Dallas TX 75220,Fox Fuels #3,2.659,1 Day Ago
226,240 Tennyson Pkwy Plano TX 75024,7-eleven #38244,2.599,1 Day Ago
227,8350 N Central Expy Dallas TX 75206,Finaserve 100,2.529,1 Day Ago
228,851 State Highway 121 Byp Lewisville TX 75067,Costco #0683,2.439,1 Day Ago
229,9791 Forest Ln Dallas TX 75243,Chevron,2.699,1 Day Ago
230,1213 Market Pl Irving TX 75063,Sams Club #6265 (discount Available),2.449,6 Days Ago
231,4001 W Spring Creek Pkwy Plano TX 75024,7-eleven #32723,2.489,1 Day Ago
232,6449 Greenville Ave Dallas TX 75206,Shell,2.699,1 Day Ago
